,log_return,var_true_90,garch_var_90
alpha067,-0.2493470472780418,-0.10365828713832102,-0.05575375522247952
alpha069,0.004121747575214349,-0.06018636012028559,-0.11061195777510864
alpha070,-0.3632190901727276,-0.009631519683182519,0.006932565171894276
alpha071,-0.028233511211817892,-0.0022822103248079373,-2.573615776357042e-05
alpha072,-0.026819998626356003,-0.016937370399080966,-0.0222833497303269
alpha073,0.11144453755573046,-0.10879735734380756,-0.08879410448954145
alpha076,-0.11842742072562681,-0.02000520094146616,-0.03392885313641462
alpha077,0.020827036097181305,-0.035898864836835215,-0.08200109595096887
alpha078,-0.021712038467911213,0.017902580747593638,0.02886610365369054
alpha079,-0.18429172528405913,0.0025174054761537778,0.026051634742419907
alpha080,0.02226424752822581,-0.008050658338965812,-0.009870261204207649
alpha081,-0.029242855366053803,-0.0071591296844291065,-0.006949886323148285
alpha082,-0.03473191592962129,-0.005090509409050138,-0.00477548670055149
alpha083,0.01429744697586251,0.014487255333489478,0.10112546815848428
alpha084,-0.0,,0.0
alpha085,-0.015987889598785516,0.016957530211592582,0.010671206846151571
alpha086,0.005477266876122002,0.05004286252945715,0.09204794330828228
alpha087,-0.11732390628681999,-0.03330596723462689,-0.055645926477617035
alpha088,-0.044441604876471266,-0.0895952705711078,-0.13463470096728802
alpha089,0.0018516030623502231,-0.013821224107635552,-0.002799578901838915
alpha090,-0.3455074459487721,0.043710338438862566,0.15519318435747412
alpha091,0.02495536912790654,0.026107579136283185,0.03218120017362349
alpha092,-0.16084249484186186,0.04390270599745087,0.010455311440301032
alpha093,-0.03281252821931803,0.042807002529133546,0.08050120293041267
alpha094,-0.1424131239869967,-0.08685501314307792,-0.17637468663797748
alpha095,-0.01785174165860352,-0.036935991234301115,-0.08717611100105085
alpha096,-0.034400376333284396,-0.005694010986183309,-0.005161238450460591
alpha097,0.003825696224476169,-0.007042396067740384,-0.01290567491047789
alpha098,0.003750870413922966,0.011454042191657353,0.01958967492559041
alpha099,-0.07894322573747219,-0.009898808419482688,-0.006020465898446871
alpha100,-0.25884915307013173,-0.05019433474806133,0.030731510137670327
alpha101,0.6686699336084592,0.03236681851642466,-0.02226893702394271
alpha102,0.07728537684096458,0.22126736688968765,0.08890432960081499
alpha103,0.0940828640288739,0.3205431516802758,0.036542260929356925
alpha104,0.08787718860530731,0.014495026803860377,0.030266203191786335
alpha105,0.1137631028202418,0.33634294802388964,0.06349834075990474
alpha106,-0.5017836254184523,-0.16908048210608775,-0.028399588948073044
alpha107,0.05201283972860281,0.18669858167805667,0.010288124483078788
alpha108,0.07440650904705742,0.22175096826112933,0.05129403499855574
alpha109,0.06752083059103943,0.21425246368756656,0.10831218990755828
alpha110,0.24311260494371653,-0.22074129039849444,-0.061074902307804164
alpha111,-0.01718372402307738,-0.07952552910797031,-0.09526193941208606
alpha112,0.06866276410200163,0.2633150593888553,0.03459328988910796
alpha113,0.015020081335261073,0.09022564352934986,0.17834516487333424
