,non_null,mean,std,min,max
alpha062,226431,-0.4957845877993738,0.4999833340377273,-1.0,-0.0
alpha063,228724,-0.0001263626637914805,0.40673718369117695,-0.9782608695652174,0.9782608695652174
alpha064,222132,-0.48593178830605227,0.49980317124919793,-1.0,-0.0
alpha065,225509,-0.4943971194054339,0.49996971528079215,-1.0,-0.0
alpha066,227713,-1.131640185869767,0.43963248100707575,-2.0,-0.1645962732919254
alpha067,229174,-0.7100672414502528,0.22282450956214347,-1.0,-0.0241394232040108
alpha069,228391,-0.6821484541377741,0.2611167799445161,-1.0,-0.0217391304347826
alpha070,228271,-0.6961699838875739,0.26837621867452455,-1.0,-0.0217391304347826
alpha071,227557,0.7683173886103262,0.2460883138762111,0.25,1.0
alpha072,228851,1.9647940856190267,3.71455488603362,0.0217391304347826,46.0
alpha073,228300,-0.7209353033567703,0.216207655245909,-1.0,-0.0588235294117647
alpha076,227047,-0.693969900231049,0.25753353933252976,-1.0,-0.0526315789473684
alpha077,229015,0.34692486995626626,0.2377795156978621,0.0217391304347826,1.0
alpha078,229220,0.6911264303398295,0.25130292060704074,0.0217391304347826,1.0
alpha079,201993,0.49607164604714027,0.49998580543011545,0.0,1.0
alpha080,228995,-0.6790899808277774,0.23393608567177368,-0.9926187491341018,-0.0652173913043478
alpha081,228646,-0.49266551787479335,0.4999472957570046,-1.0,-0.0
alpha082,228482,-0.34527546595429887,0.26077258799387154,-1.0,-0.0217391304347826
alpha083,228399,947485.9302364731,2375065.155116118,167.35377580344186,119409290.2746882
alpha084,226309,4.582032013277832e+302,inf,0.0,7.51656078304765e+307
alpha085,229220,0.711215401745473,0.2422073842400849,0.0217391304347826,1.0
alpha086,228212,-0.48470720207526335,0.499767170574727,-1.0,-0.0
alpha087,228523,-0.6959616491181841,0.24581180011934198,-1.0,-0.0714285714285714
alpha088,228892,0.406894508786733,0.22306227139423954,0.0217391304347826,1.0
alpha089,226933,0.09174216619002085,0.44659969131746335,-0.75,0.9333333333333332
alpha090,229036,-0.6296030892425338,0.2595425475440081,-1.0,-0.0217391304347826
alpha091,228318,-0.09028656446748376,0.44238439931307555,-0.9782608695652174,0.8
alpha092,228728,0.3576370909611126,0.2476374929384018,0.0526315789473684,1.0
alpha093,227229,2.417265237739566,5.014771747336062,0.125,46.0
alpha094,228111,-0.6335402710649833,0.26164970680521027,-1.0,-0.0217391304347826
alpha095,228714,0.5241480626459246,0.4994176224301827,0.0,1.0
alpha096,227703,-0.7211785493856877,0.24794112041761565,-1.0,-0.125
alpha097,226548,0.06067840558544514,0.46007496375108436,-0.8571428571428572,0.9782608695652174
alpha098,228359,0.004186247931127514,0.4128687592344604,-0.9782608695652174,0.9782608695652174
alpha099,229220,-0.48648896256871127,0.49981850879210377,-1.0,-0.0
alpha100,227879,-0.0004183065383053819,0.0643377648961954,-3.1761035741998582,1.1719650048906871
alpha101,229220,-0.030229778355074108,0.5602346830673676,-0.9999963344159272,0.9999972172036036
alpha102,228072,0.37411110183707913,1.8882153949809795,-1.0,411.0
alpha103,228339,0.006322516153734834,1.046132652010662,-3.0134980846536226,4.248529157243456
alpha104,228338,0.08002852217398099,0.3943088275875673,-0.9783646931731608,0.9999999999995424
alpha105,228339,1.0190394050824572,0.6023797816903557,0.0,20.0
alpha106,228346,-0.3278807161062598,0.2807917245908055,-1.0,-0.01
alpha107,228116,-6.739991933928273e-05,0.40365221129250417,-0.95,0.95
alpha108,228853,0.26080524945761213,1.8044142967753294,-1.0,521.5
